PDB_ID,Experimental,DELTA_TOTAL,VDWAALS,EEL,EPB,ENPOLAR
1xgi,-6.662966427,-26.81,-25.525,-11.184,12.944,-3.045
2qhm,-8.483983831,-36.118,-35.703,-5.887,9.002,-3.529
16pk,-7.168092435,-39.626,-38.874,-22.375,26.19,-4.567
3ipu,-10.04654517,-62.535,-61.883,-10.286,15.078,-5.443
5j75,-12.62140806,-42.26,-42.629,-6.574,11.024,-4.081
187l,-4.632472798,-22.846,-21.958,-0.179,1.265,-1.973
1ayu,-12.56704026,-64.359,-64.246,-9.786,15.568,-5.895
3cic,-11.63741955,-66.849,-66.779,-20.864,27.205,-6.412
5yhe,-9.185997552,-39.309,-38.68,-14.582,17.704,-3.751
4gg5,-12.33193106,-54.197,-54.177,-5.995,10.537,-4.562
4p6c,-5.490846463,-11.942,-14.262,-21.141,25.89,-2.43
6g07,-10.21955094,-59.917,-59.671,-8.16,13.395,-5.48
1nvq,-11.32735815,-56.209,-57.935,-7.171,13.785,-4.888
1w1g,-10.53937876,-10.39,-8.782,-16.11,16.172,-1.671
5t3n,-11.03791728,-48.496,-47.147,-11.641,13.61,-3.318
1ec1,-12.24571153,-75.276,-76.371,-23.016,31.726,-7.616
6gjr,-5.127327962,-37.574,-36.448,-9.07,11.706,-3.762
3fk1,-3.591267036,-23.07,-19.923,-25.925,25.37,-2.592
6md8,-3.262593307,-13.933,-14.572,-3.633,6.138,-1.866
4ad6,-6.557832592,-26.425,-23.988,-14.412,14.426,-2.452
5ja3,-9.232994726,-48.66,-49.169,-7.41,12.689,-4.771
3ggv,-14.89923612,-83.249,-85.138,-14.981,25.122,-8.252
1nl9,-8.179449475,-43.378,-43.044,-13.306,17.914,-4.942
3u5l,-8.502328696,-35.238,-34.66,-3.61,6.695,-3.663
1nl6,-15.53739163,-70.242,-69.7,-10.919,16.676,-6.299
5jfu,-11.07858039,-57.446,-59.283,-12.326,20.503,-6.341
3own,-10.25212564,-75.349,-74.929,-20.469,27.747,-7.697
5ey0,-3.63204608,-33.612,-32.519,-12.451,14.984,-3.626
6i14,-7.994547178,-53.13,-52.335,-6.804,10.536,-4.528
3hu8,-4.255816081,-24.666,-24.993,-0.989,3.389,-2.073
1tj0,-4.115381554,-11.902,-10.248,-10.873,10.633,-1.415
2wvz,-5.515182948,-10.131,-21.982,-16.901,31.158,-2.406
5i9m,-9.958725826,-35.252,-37.29,-2.464,7.772,-3.269
3nz6,-12.13331463,-56.595,-55.31,-9.094,12.974,-5.165
5jai,-7.817812012,-62.142,-63.605,-19.801,27.138,-5.875
6c98,-5.620115966,-36.192,-39.439,0,4.161,-0.915
5ekm,-8.673833551,-31.808,-31.015,-6.518,9.199,-3.474
5j6a,-10.66535302,-40.97,-40.337,-11.966,15.548,-4.215
1e4h,-11.54304329,-14.459,-14.274,-1.089,2.479,-1.575
6jad,-5.924695908,-22.558,-15.453,-20.123,15.042,-2.023
5em8,-8.184893907,-47.922,-48.355,-7.658,12.91,-4.819
6fzf,-9.367258794,-68.345,-69.172,-8.688,15.551,-6.036
1r0p,-10.98169293,-55.115,-57.099,-5.984,12.563,-4.595
4g8v,-7.956071824,-28.683,-29.962,-9.762,14.315,-3.274
4j0s,-8.76326222,-30.696,-30.003,-12.112,15.08,-3.661
4ur9,-3.441334604,-19.56,-19.78,-2.503,4.887,-2.164
4n6g,-7.506702412,-15.96,-15.901,-3.038,5.003,-2.023
5krd,-5.725764922,-14.489,-14.32,-2.397,3.956,-1.728
2wgj,-11.94117717,-50.844,-50.464,-3.328,7.44,-4.492
4zan,-6.750348911,-12.688,-12.294,-3.179,4.736,-1.951
4n9d,-10.54284433,-46.974,-47,-9.467,14.206,-4.714
4qta,-9.098620366,-79.522,-78.282,-22.686,28.277,-6.831
4w52,-5.157225311,-16.872,-16.151,-0.297,1.092,-1.516
4n98,-4.87702744,-23.197,-22.706,-3.672,5.763,-2.581
186l,-6.662966427,-29.434,-28.241,-0.383,1.48,-2.291
6qlr,-6.621835562,-30.666,-29.469,-9.294,11.485,-3.388
